company_id,organization_name,hq_country,latitude,longitude,founded_year,b2b,hub_binary,number_of_founders,female_founder,energy,information_technology,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,communication_services,utilities,real_estate,other,grant_before_seed,angel_round_binary,first_seed_round_year,number_seed_rounds,number_seed_investors,one_seed_investor_binary,pre_seed,follow_on_investor,low_seed_funding,high_seed_funding,duration_seed_stage,all_homecountry_investors_in_seed_binary,regional_seed_investor_binary,regional_seed_investor_institutional_binary,city_seed_investor_binary,lead_investor_in_seed,accelerator_seed_investor_binary,incubator_seed_investor_binary,micro_vc_seed_investor_binary,corporate_venture_capital_seed_investor_binary,angel_group_seed_investor_binary,angel_seed_investor_binary,university_program_seed_investor_binary,entrepreneurship_program_seed_investor_binary,family_investment_office_seed_investor_binary,us_investor_binary,gdp,top_university,exit_binary,post_seed_success,success
020872,Siilo,The Netherlands,52.3730796,4.8924534,2016,1,True,4,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2018.0,1,1,True,False,False,False,True,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.42428573,True,True,True,True
020873,Bleeve,The Netherlands,52.3730796,4.8924534,2014,0,True,4,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,2014.0,2,2,False,False,False,False,False,17.2,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,1.612610013,True,False,False,False
020874,Eden Advanced Technologies,The Netherlands,52.2209855,6.8940537,2018,0,False,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2018.0,4,2,False,True,False,True,False,16.4,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,2.258740374,False,False,False,False
020875,Olisto,The Netherlands,52.3730796,4.8924534,2015,0,True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2015.0,1,5,False,False,False,False,False,0.0,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,2.120605239,True,False,False,False
020877,Data for Good,The Netherlands,51.9244424,4.47775,2020,1,False,1,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2020.0,1,1,True,True,False,True,False,0.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,-3.867953338,True,False,False,False
020879,HelloMaaS,The Netherlands,52.3730796,4.8924534,2017,1,True,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2019.0,1,2,False,False,False,False,False,0.0,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,2.781546193,True,False,False,False
020880,Tiqtime,The Netherlands,52.3730796,4.8924534,2014,1,True,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,2016.0,1,1,True,False,False,False,False,0.0,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,1.612610013,True,False,False,False
020881,Vellum,The Netherlands,52.3730796,4.8924534,2020,1,True,3,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,1,1,True,True,False,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.867953338,True,False,False,False
020883,Concord Neonatal,The Netherlands,52.1594747,4.4908843,2017,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2017.0,2,2,False,True,False,False,False,10.4,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,2.781546193,True,False,False,False
020886,Wattsun,The Netherlands,51.984257,5.9108573,2016,1,False,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,2020.0,1,1,True,False,False,False,False,0.0,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,2.42428573,True,False,False,False
020887,ModelMe3D,The Netherlands,52.3730796,4.8924534,2018,1,True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2017.0,4,4,False,True,False,False,False,28.4,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,2.258740374,True,False,False,False
020892,Pixyle.ai,The Netherlands,52.3730796,4.8924534,2019,1,True,2,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2018.0,2,2,False,True,False,False,False,49.2,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,2.300091579,True,False,False,False
020893,JamesEdition,The Netherlands,52.3730796,4.8924534,2008,0,True,1,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,2009.0,2,2,False,False,False,True,False,34.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.116815936,True,False,False,False
020894,Alledaags NL (Everyday),The Netherlands,53.2190652,6.5680077,2013,1,False,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,2018.0,1,1,True,False,False,False,False,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.03023256,True,False,False,False
020895,LeadBoxer,The Netherlands,52.3730796,4.8924534,2014,1,True,2,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,2014.0,2,2,False,False,False,False,False,16.7,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,1.612610013,True,False,False,False
