Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Re-Compose,https://www.crunchbase.com/funding_round/re-compose-seed--86f69d60,Re-Compose,https://www.crunchbase.com/organization/re-compose,Seed,"Vienna, Wien, Austria, Europe",2008-10-02,1000000,USD,1000000,Seed,,,,Yes,Music intelligence for music composition,"Developer APIs, Internet, Mobile, Music, Software",,http://www.re-compose.com,Less than $1M,1500000,USD,1500000,Seed,2,,The Austrian Research Promotion Agency (FFG),,1,"606,182"
Pre Seed Round - Necture,https://www.crunchbase.com/funding_round/necture-pre-seed--8514de45,Necture,https://www.crunchbase.com/organization/necture,Pre-Seed,"Vienna, Wien, Austria, Europe",2014-01-01,,,,Seed,,,,Yes,"NECTURE empowers businesses to unlock the full potential of fleets, seamlessly bridging the gap between mobility and energy.","Car Sharing, Electric Vehicle, Energy Efficiency, Information Technology, Smart Cities, Software, Transportation",,https://www.necture.com/,$1M to $10M,10550000,EUR,11753422,Early Stage Venture,7,,IMPACT Accelerator,,1,"609,320"
Pre Seed Round - Artikuno,https://www.crunchbase.com/funding_round/artikuno-pre-seed--c0a2faf8,Artikuno,https://www.crunchbase.com/organization/artikuno,Pre-Seed,"Vienna, Wien, Austria, Europe",2021-03-31,800000,EUR,938189,Seed,,,,Yes,Artikuno is website based e-commerce aggregator.,E-Commerce,,https://www.artikunocommerce.com/,,1835000,EUR,2087828,,3,,Thomas Rebaud,,1,"610,570"
Seed Round - Grape,https://www.crunchbase.com/funding_round/ubergrape-gmbh-seed--0c382482,Grape,https://www.crunchbase.com/organization/ubergrape-gmbh,Seed,"Vienna, Wien, Austria, Europe",2013-12-10,444000,EUR,610964,Seed,,,,Yes,"Grape provides an integrated communication solution, chats, and messaging apps for companies and organizations.","Enterprise Software, Messaging, Software, VoIP",,http://www.chatgrape.com,$1M to $10M,1966939,USD,1966939,Seed,4,,Carcharodon Capital,,1,"619,886"
Angel Round - kompany,https://www.crunchbase.com/funding_round/kompany-angel--a0655609,kompany,https://www.crunchbase.com/organization/kompany,Angel,"Vienna, Wien, Austria, Europe",2013-04-01,500000,USD,500000,Seed,,,,Yes,kompany is a RegTech platform for Global Business Verification (Business KYC) & AML Compliance.,"B2B, Financial Services, FinTech, GovTech, Information Services, Information Technology",,https://www.kompany.com,$1M to $10M,15478530,USD,15478530,M&A,12,,Livag GmbH,,1,"612,544"
Angel Round - YASSSU,https://www.crunchbase.com/funding_round/yasssu-angel--d450dc81,YASSSU,https://www.crunchbase.com/organization/yasssu,Angel,"Vienna, Wien, Austria, Europe",2010-06-01,530000,EUR,648007,Seed,,,,Yes,YASSSU offers a media distribution technology enabling companies to distribute news and media content to the mobile and web markets.,"Android, Digital Media, iOS, Mobile, News, Video, Video Streaming",,http://www.YASSSU.com,$1M to $10M,1230000,EUR,1639228,Seed,3,,,,,"623,611"
"Seed Round - AIRSKIN, Blue Danube Robotics",https://www.crunchbase.com/funding_round/blue-danube-robotics-seed--e4cac844,"AIRSKIN, Blue Danube Robotics",https://www.crunchbase.com/organization/blue-danube-robotics,Seed,"Vienna, Wien, Austria, Europe",2014-01-01,,,,Seed,,,,Yes,"With AIRSKIN, our safety skin for robots, we remove fences.","Industrial Automation, Robotics, Sensor",,http://www.airskin.io,$1M to $10M,2050000,EUR,2550978,Early Stage Venture,3,,Allinvest,,1,"613,630"
Seed Round - Pro 3 Games,https://www.crunchbase.com/funding_round/pro-3-games-seed--69c7a0c2,Pro 3 Games,https://www.crunchbase.com/organization/pro-3-games,Seed,"Linz, Oberosterreich, Austria, Europe",2010-11-16,191000,EUR,258209,Seed,,,,Yes,Pro 3 games is a creator of 3D social browser games based on Adobe Flash Stage3D.,"3D Technology, Social Media, Video Games",,http://www.pro3games.com,,191000,EUR,258209,,2,,HackFwd,,1,"626,436"
Seed Round - Tapkey,https://www.crunchbase.com/funding_round/tapkey-seed--108eb799,Tapkey,https://www.crunchbase.com/organization/tapkey,Seed,"Vienna, Wien, Austria, Europe",2018-09-10,,,,Seed,,,,Yes,"Tapkey is an access platform for property management, car sharing and unattended delivery.","Apps, Internet of Things, Security, Smart Building",,https://tapkey.com/,$1M to $10M,,,,M&A,2,,,,,"621,153"
Seed Round - LineMetrics,https://www.crunchbase.com/funding_round/linemetrics-seed--5e189c05,LineMetrics,https://www.crunchbase.com/organization/linemetrics,Seed,"Haag, Niederosterreich, Austria, Europe",2014-09-01,,,,Seed,,,,Yes,"The LineMetrics GmbH is a manufacturer of a technical solution, easy acquisition of data and enterprises.","Energy Efficiency, Industrial, Industrial Automation, Manufacturing, Product Design",,https://www.linemetrics.com,$1M to $10M,1400000,USD,1400000,Seed,4,,EIT Digital Accelerator,,1,"626,913"
